HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,image
778.4,490.92720009129016,,,,,,,670.1892898357346,684.0380277380877,0.6306875643516061,0.8609831575484772,574.0,177.91199999999998,0.30995121951219506,267.0,0.7325202111356001,491.2,855.2000000000004,80.0,85.0,436.0,2188.0,6.666666666666667,85.9375,,,,0.04561121495426467,,0.04561121495426467,,,1.0,-3.087601650721079,483.68792800307347,434.98884841523693,1.1119547771517784,660987.4965458207,0.8993171489954426,6.527163354269649,1564.7717240064064,0.55,0.6315789473684211,0.75,0.2,40.608875128998974,42.48935921907873,38.86858524210828,57.89473684210527,0.3726400059995876,0.6273599940004125,297.2129801262986,385.63944012221805,0.43762266809515143,0.5623773319048485,287.7584119755067,326.2060615361839,0.40148499453102443,0.5985150054689754,292.5238957916267,357.16114875552074,0.6950720594239771,2.361588937186689,1.397490493298892,1.2682862986587133,0.013550277164759095,0.3029714828601846,-0.5547107045623685,0.00439123832878994,0.5074762822313107,0.33080240134819894,0.5596157879354228,4.221928094887363,0.881519057522237,,,,1.5388594667947089,1.9620739948604473,2.2387792525276664,1.296578428466209,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(55).jpg
714.6666666666666,336.9019639796321,,,,,,,432.5450265579296,443.74193543450224,0.4714113301953808,0.6052402423851627,588.0,213.49439999999998,0.36308571428571423,300.0,0.7788829908890693,492.0,896.0,85.71428571428571,85.71428571428571,328.0,1676.0,21.0,0.0,,,,0.027450674560700546,0.007101770814632966,0.034552445375333515,,,0.7944640173079379,-3.595364537168226,313.77293164257964,373.3752451411455,0.8403688667789567,368053.42955342354,1.189953649559737,6.272880978841534,1777.1969424438703,0.5238095238095238,0.6,0.8333333333333334,0.2,50.82246171298922,50.689979012441476,51.48163654253193,50.0,0.574714904497817,0.42528509550218285,237.8925011539102,204.6419208995891,0.3730495681697681,0.6269504318302321,228.04932522777193,295.6392716595148,0.4565294733457641,0.5434705266542358,233.02289248280442,254.24485711302214,0.6178604933493674,1.5499445404284642,0.9653299815723108,0.9436470540271105,0.013575374410846663,0.06153534380685399,-0.5139894860620021,0.0007017872748587657,0.15659122876793782,0.08733614172443893,inf,4.392317422778759,1.9479499027143474,,,,1.9844467407766948,1.995133572728691,2.633075635953983,1.254947835079646,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(6).jpg
714.6666666666666,336.9019639796321,,,,,,,432.5450265579296,443.74193543450224,0.4714113301953808,0.6052402423851627,588.0,213.49439999999998,0.36308571428571423,300.0,0.7788829908890693,492.0,896.0,85.71428571428571,85.71428571428571,328.0,1676.0,21.0,0.0,,,,0.027450674560700546,0.007101770814632966,0.034552445375333515,,,0.7944640173079379,-3.595364537168226,313.77293164257964,373.3752451411455,0.8403688667789567,368053.42955342354,1.189953649559737,6.272880978841534,1777.1969424438703,0.5238095238095238,0.6,0.8333333333333334,0.2,50.82246171298922,50.689979012441476,51.48163654253193,50.0,0.574714904497817,0.42528509550218285,237.8925011539102,204.6419208995891,0.3730495681697681,0.6269504318302321,228.04932522777193,295.6392716595148,0.4565294733457641,0.5434705266542358,233.02289248280442,254.24485711302214,0.6178604933493674,1.5499445404284642,0.9653299815723108,0.9436470540271105,0.013575374410846663,0.06153534380685399,-0.5139894860620021,0.0007017872748587657,0.15659122876793782,0.08733614172443893,inf,4.392317422778759,1.9479499027143474,,,,1.9844467407766948,1.995133572728691,2.633075635953983,1.254947835079646,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(66).jpg
770.8,351.0539919487569,,,,,,,537.1339144992272,551.6623257368831,0.45544108971037484,0.6968525097291479,658.0,249.0768,0.3785361702127659,363.0,0.6535688447005742,512.0,947.2000000000002,90.0,90.0,352.0,1624.0,6.666666666666667,242.1875,,,,0.06575354370206336,0.05203603346491239,0.11778957716697575,,,0.5582288796983512,-2.7218417127673042,390.084171453692,318.10278231565195,1.2262834314558533,389830.3686523518,0.8154721611241148,6.297845778566898,1037.615853418154,0.6,0.6666666666666666,0.75,0.3333333333333333,51.779075942644724,53.130616038712006,50.406380045054924,38.88888888888889,0.4653088506139651,0.534691149386035,266.1820596676058,285.3380061922663,0.7022074501666691,0.29779254983333103,266.5631943758846,173.58987159705893,0.5598863698068737,0.4401136301931265,266.3726951892447,236.168606401085,0.7578557616359913,1.5196912413495625,1.0591948091788606,1.1267629360891878,-0.2675239160063949,-0.34599514258870023,-0.4555382533820993,0.00046771753802492933,0.13605114390031656,0.0878050086688944,1.0986122886681096,4.221928094887363,1.3701092578344796,,,,1.6566587871951497,1.9949909448925556,2.6827389011299236,1.512674833210577,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(69).jpg
780.4,598.6031459287442,,,,,,,844.0972755117243,867.148853717125,0.7670465734607178,1.0816213166475197,612.0,252.04199999999997,0.4118333333333333,312.0,0.7091636986576552,434.4,835.2,80.0,85.0,328.0,2892.0,10.0,109.375,,,,0.07164365687311952,,0.07164365687311952,,,1.0,-2.636050657962296,613.1668347615206,610.4026472852698,1.0045284657406783,1175831.0860312236,0.9954919488146716,6.777315047625845,2430.6036836305916,0.7,0.7777777777777777,1.0,0.5,51.08958837772397,53.02700679227294,49.16576089890885,44.44444444444444,0.4646717740582016,0.5353282259417984,418.01435382053563,448.67112429682584,0.5695132324014011,0.4304867675985991,460.6470752281858,400.49427448664426,0.5168509005924201,0.4831490994075798,439.8475462681825,425.2654710144954,0.8324691389537503,0.710919770080086,0.7967731989353783,0.7836754629012865,0.03088031036758032,-0.022842843259459844,-0.5184236486103296,0.001224001814611259,0.03862168383742864,0.451368164812195,1.3862943611198906,4.221928094887363,0.8867411062383133,,,,1.7930211925416373,1.9754162064359817,1.9005860816527658,1.296578428466209,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(70).jpg
780.8,450.35957563753544,,,,,,,675.0338782921234,693.276043517025,0.5767924892898764,0.8645413400257729,638.0,216.4596,0.3392783699059561,296.0,0.6671658862174036,502.40000000000003,930.4000000000001,80.0,80.0,428.0,2408.0,10.0,15.625,,,,0.09844969907718114,,0.09844969907718114,,,1.0,-2.3182095305072488,490.2201916050683,425.7073096040194,1.1515428101553082,655619.97267425,0.868400194227369,6.52362228532104,1478.7372413765647,0.6,0.6666666666666666,0.8333333333333334,0.25,52.1870286576169,53.42875229971536,51.64316442688145,33.33333333333333,0.5151568353141418,0.48484316468585814,351.98232278845416,341.46937393173835,0.5700879315018461,0.42991206849815394,321.42676024835725,279.12640728984667,0.5387625249076574,0.46123747509234264,337.05097371118103,311.859651590159,0.6699502510381977,2.4459058031802376,1.2193498382498316,1.277562729435799,-0.3664566344237272,0.08700715479014609,-0.47619986382538626,0.0028553790950073435,0.45082935041781624,0.31694619142739944,inf,4.121928094887363,1.1405787533220662,,,,1.636589973620679,1.9593763050309585,1.9051743302167026,1.0804820237218407,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(72).jpg
706.9090909090909,247.7577367185455,,,,,,,401.3035901017725,411.16336690628737,0.35048033743621404,0.5676876917591946,638.0,166.0512,0.2602683385579937,238.0,0.6173823081316391,522.4,855.2,90.9090909090909,95.45454545454545,396.0,1372.0,11.0,148.4375,,,,0.12278056105257118,,0.12278056105257118,,,1.0,-2.0973565734169837,290.73640491492824,205.1135806142074,1.417441029717903,187345.6892651163,0.7054967219334821,5.979613814597847,578.8278349894495,0.6818181818181818,0.7619047619047619,1.0,0.4,51.00917431192661,51.23889247666254,50.83068797461666,47.61904761904761,0.5128896584678126,0.4871103415321875,208.24024587000469,202.93939982172017,0.5364709596114757,0.46352904038852405,150.23375588028043,139.64741152805252,0.5207249354325217,0.4792750645674783,181.56841879288328,174.19213464804497,0.2681054079327288,1.229756260704482,0.507306058376229,0.4990231491651747,0.09357685739985744,0.04494680084536018,-0.5067354072312746,0.0002497265731881369,0.08410375552036546,0.14925188741912399,inf,4.277613436819116,1.6858969722285915,,,,1.50931321250981,2.055730213814734,2.9836477819098333,1.2162086232647176,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(76).jpg
778.4,490.92720009129016,,,,,,,670.1892898357346,684.0380277380877,0.6306875643516061,0.8609831575484772,574.0,177.91199999999998,0.30995121951219506,267.0,0.7325202111356001,491.2,855.2000000000004,80.0,85.0,436.0,2188.0,6.666666666666667,85.9375,,,,0.04561121495426467,,0.04561121495426467,,,1.0,-3.087601650721079,483.68792800307347,434.98884841523693,1.1119547771517784,660987.4965458207,0.8993171489954426,6.527163354269649,1564.7717240064064,0.55,0.6315789473684211,0.75,0.2,40.608875128998974,42.48935921907873,38.86858524210828,57.89473684210527,0.3726400059995876,0.6273599940004125,297.2129801262986,385.63944012221805,0.43762266809515143,0.5623773319048485,287.7584119755067,326.2060615361839,0.40148499453102443,0.5985150054689754,292.5238957916267,357.16114875552074,0.6950720594239771,2.361588937186689,1.397490493298892,1.2682862986587133,0.013550277164759095,0.3029714828601846,-0.5547107045623685,0.00439123832878994,0.5074762822313107,0.33080240134819894,0.5596157879354228,4.221928094887363,0.881519057522237,,,,1.5388594667947089,1.9620739948604473,2.2387792525276664,1.296578428466209,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(85).jpg
770.8,351.0539919487569,,,,,,,537.1339144992272,551.6623257368831,0.45544108971037484,0.6968525097291479,658.0,249.0768,0.3785361702127659,363.0,0.6535688447005742,512.0,947.2000000000002,90.0,90.0,352.0,1624.0,6.666666666666667,242.1875,,,,0.06575354370206336,0.05203603346491239,0.11778957716697575,,,0.5582288796983512,-2.7218417127673042,390.084171453692,318.10278231565195,1.2262834314558533,389830.3686523518,0.8154721611241148,6.297845778566898,1037.615853418154,0.6,0.6666666666666666,0.75,0.3333333333333333,51.779075942644724,53.130616038712006,50.406380045054924,38.88888888888889,0.4653088506139651,0.534691149386035,266.1820596676058,285.3380061922663,0.7022074501666691,0.29779254983333103,266.5631943758846,173.58987159705893,0.5598863698068737,0.4401136301931265,266.3726951892447,236.168606401085,0.7578557616359913,1.5196912413495625,1.0591948091788606,1.1267629360891878,-0.2675239160063949,-0.34599514258870023,-0.4555382533820993,0.00046771753802492933,0.13605114390031656,0.0878050086688944,1.0986122886681096,4.221928094887363,1.3701092578344796,,,,1.6566587871951497,1.9949909448925556,2.6827389011299236,1.512674833210577,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(9).jpg
714.6666666666666,336.9019639796321,,,,,,,432.5450265579296,443.74193543450224,0.4714113301953808,0.6052402423851627,588.0,213.49439999999998,0.36308571428571423,300.0,0.7788829908890693,492.0,896.0,85.71428571428571,85.71428571428571,328.0,1676.0,21.0,0.0,,,,0.027450674560700546,0.007101770814632966,0.034552445375333515,,,0.7944640173079379,-3.595364537168226,313.77293164257964,373.3752451411455,0.8403688667789567,368053.42955342354,1.189953649559737,6.272880978841534,1777.1969424438703,0.5238095238095238,0.6,0.8333333333333334,0.2,50.82246171298922,50.689979012441476,51.48163654253193,50.0,0.574714904497817,0.42528509550218285,237.8925011539102,204.6419208995891,0.3730495681697681,0.6269504318302321,228.04932522777193,295.6392716595148,0.4565294733457641,0.5434705266542358,233.02289248280442,254.24485711302214,0.6178604933493674,1.5499445404284642,0.9653299815723108,0.9436470540271105,0.013575374410846663,0.06153534380685399,-0.5139894860620021,0.0007017872748587657,0.15659122876793782,0.08733614172443893,inf,4.392317422778759,1.9479499027143474,,,,1.9844467407766948,1.995133572728691,2.633075635953983,1.254947835079646,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(96).jpg
770.8,351.0539919487569,,,,,,,537.1339144992272,551.6623257368831,0.45544108971037484,0.6968525097291479,658.0,249.0768,0.3785361702127659,363.0,0.6535688447005742,512.0,947.2000000000002,90.0,90.0,352.0,1624.0,6.666666666666667,242.1875,,,,0.06575354370206336,0.05203603346491239,0.11778957716697575,,,0.5582288796983512,-2.7218417127673042,390.084171453692,318.10278231565195,1.2262834314558533,389830.3686523518,0.8154721611241148,6.297845778566898,1037.615853418154,0.6,0.6666666666666666,0.75,0.3333333333333333,51.779075942644724,53.130616038712006,50.406380045054924,38.88888888888889,0.4653088506139651,0.534691149386035,266.1820596676058,285.3380061922663,0.7022074501666691,0.29779254983333103,266.5631943758846,173.58987159705893,0.5598863698068737,0.4401136301931265,266.3726951892447,236.168606401085,0.7578557616359913,1.5196912413495625,1.0591948091788606,1.1267629360891878,-0.2675239160063949,-0.34599514258870023,-0.4555382533820993,0.00046771753802492933,0.13605114390031656,0.0878050086688944,1.0986122886681096,4.221928094887363,1.3701092578344796,,,,1.6566587871951497,1.9949909448925556,2.6827389011299236,1.512674833210577,C:\Users\shiva\major project\ECG Images of Myocardial Infarction Patients (240x12=2880)\MI(99).jpg
